iter	Passed	Remaining
0	163	163329
1	168	83957
2	170	56514
3	172	42903
4	174	34627
5	175	29014
6	176	25022
7	177	22016
8	179	19789
9	187	18587
10	188	16977
11	189	15632
12	191	14509
13	192	13532
14	193	12692
15	194	11948
16	195	11289
17	206	11257
18	207	10709
19	208	10223
20	209	9781
21	210	9372
22	215	9164
23	218	8882
24	219	8565
25	220	8265
26	221	7985
27	222	7732
28	223	7491
29	224	7265
30	225	7056
31	228	6924
32	231	6795
33	232	6618
34	234	6453
35	235	6295
36	236	6148
37	237	6018
38	239	5893
39	240	5772
40	253	5931
41	254	5814
42	256	5702
43	261	5670
44	264	5606
45	265	5506
46	266	5408
47	267	5314
48	269	5222
49	270	5135
50	271	5053
51	281	5134
52	282	5056
53	284	4978
54	285	4903
55	286	4830
56	288	4765
57	290	4715
58	291	4650
59	292	4587
60	294	4533
61	295	4474
62	300	4467
63	302	4424
64	303	4372
65	305	4318
66	306	4266
67	308	4234
68	310	4184
69	315	4194
70	316	4146
71	318	4100
72	319	4055
73	320	4011
74	321	3967
75	325	3951
76	328	3942
77	330	3901
78	331	3861
79	332	3823
80	334	3791
81	335	3758
82	336	3716
83	345	3766
84	346	3732
85	347	3697
86	348	3662
87	350	3628
88	351	3596
89	359	3633
90	361	3614
91	364	3595
92	365	3566
93	367	3537
94	379	3614
95	380	3586
96	382	3558
97	383	3531
98	392	3570
99	393	3544
100	395	3517
101	396	3489
102	397	3462
103	398	3435
104	401	3423
105	404	3414
106	406	3388
107	407	3363
108	408	3339
109	409	3315
110	411	3291
111	412	3268
112	413	3244
113	423	3288
114	424	3269
115	426	3249
116	428	3233
117	429	3211
118	437	3239
119	438	3218
120	440	3197
121	441	3175
122	442	3156
123	443	3136
124	445	3117
125	451	3131
126	452	3110
127	453	3092
128	455	3074
129	456	3055
130	457	3038
131	459	3020
132	467	3049
133	469	3034
134	470	3017
135	472	2999
136	473	2981
137	474	2965
138	475	2947
139	477	2932
140	478	2916
141	479	2897
142	480	2882
143	488	2902
144	489	2886
145	490	2870
146	491	2854
147	493	2839
148	494	2824
149	495	2808
150	497	2798
151	501	2799
152	503	2785
153	504	2770
154	505	2755
155	506	2741
156	507	2727
157	509	2713
158	510	2700
159	524	2755
160	525	2740
161	527	2726
162	534	2743
163	535	2729
164	536	2715
165	538	2703
166	539	2689
167	540	2676
168	541	2663
169	542	2650
170	544	2639
171	545	2626
172	546	2614
173	548	2602
174	549	2590
175	555	2599
176	556	2588
177	558	2576
178	559	2565
179	560	2553
180	561	2541
181	562	2529
182	564	2518
183	568	2521
184	570	2511
185	571	2501
186	572	2491
187	574	2480
188	576	2473
189	577	2462
190	578	2451
191	583	2454
192	585	2447
193	586	2436
194	588	2427
195	589	2417
196	590	2407
197	591	2396
198	593	2386
199	594	2377
200	599	2382
201	600	2373
202	602	2364
203	603	2354
204	604	2344
205	605	2335
206	618	2367
207	619	2358
208	620	2348
209	621	2339
210	623	2332
211	628	2334
212	629	2325
213	630	2315
214	631	2306
215	632	2297
216	634	2288
217	635	2279
218	645	2301
219	646	2291
220	647	2283
221	648	2274
222	650	2265
223	651	2256
224	654	2254
225	655	2245
226	656	2237
227	658	2228
228	659	2220
229	660	2211
230	661	2203
231	663	2197
232	668	2199
233	669	2191
234	670	2183
235	671	2174
236	672	2166
237	674	2158
238	675	2150
239	676	2142
240	683	2153
241	684	2145
242	686	2137
243	687	2129
244	688	2121
245	690	2115
246	691	2107
247	692	2099
248	700	2112
249	702	2106
250	703	2099
251	704	2092
252	706	2085
253	707	2077
254	708	2070
255	712	2071
256	714	2067
257	716	2059
258	717	2052
259	718	2045
260	720	2039
261	721	2032
262	722	2025
263	728	2030
264	730	2025
265	731	2019
266	733	2012
267	734	2005
268	735	1998
269	736	1990
270	737	1983
271	740	1980
272	742	1978
273	744	1971
274	744	1964
275	746	1957
276	747	1950
277	748	1944
278	750	1938
279	751	1932
280	760	1946
281	762	1940
282	763	1935
283	765	1928
284	766	1921
285	767	1915
286	771	1916
287	774	1915
288	775	1908
289	776	1902
290	778	1896
291	779	1889
292	780	1882
293	781	1876
294	782	1869
295	783	1863
296	784	1857
297	785	1851
298	786	1844
299	787	1838
300	793	1843
301	795	1837
302	796	1832
303	797	1825
304	798	1819
305	799	1813
306	800	1807
307	801	1801
308	802	1795
309	804	1790
310	805	1784
311	806	1778
312	807	1771
313	808	1765
314	809	1760
315	814	1762
316	817	1761
317	818	1755
318	819	1749
319	820	1743
320	821	1738
321	822	1732
322	823	1726
323	824	1720
324	826	1716
325	830	1716
326	831	1711
327	832	1705
328	833	1700
329	834	1694
330	835	1689
331	836	1683
332	837	1678
333	838	1672
334	840	1667
335	844	1669
336	846	1664
337	847	1659
338	848	1655
339	850	1650
340	851	1645
341	852	1640
342	854	1635
343	859	1638
344	862	1637
345	863	1631
346	864	1626
347	865	1621
348	866	1616
349	867	1610
350	868	1605
351	869	1600
352	870	1595
353	880	1606
354	881	1601
355	882	1596
356	883	1591
357	884	1586
358	885	1581
359	892	1586
360	893	1582
361	894	1577
362	895	1572
363	896	1567
364	897	1562
365	898	1557
366	899	1552
367	901	1547
368	904	1546
369	906	1544
370	907	1539
371	908	1534
372	909	1529
373	910	1524
374	912	1520
375	913	1515
376	914	1510
377	915	1506
378	921	1510
379	923	1506
380	924	1501
381	925	1496
382	926	1492
383	927	1487
384	928	1483
385	929	1478
386	930	1474
387	934	1474
388	938	1473
389	939	1468
390	940	1464
391	941	1460
392	942	1455
393	943	1451
394	944	1446
395	945	1442
396	946	1437
397	956	1446
398	957	1442
399	958	1438
400	959	1433
401	960	1429
402	961	1424
403	966	1425
404	969	1424
405	970	1420
406	971	1415
407	972	1411
408	973	1407
409	974	1402
410	975	1398
411	977	1394
412	982	1396
413	984	1393
414	985	1388
415	986	1384
416	987	1380
417	988	1376
418	989	1372
419	990	1367
420	991	1363
421	992	1359
422	999	1363
423	1000	1359
424	1001	1354
425	1002	1350
426	1003	1346
427	1004	1342
428	1005	1338
429	1006	1334
430	1007	1330
431	1011	1329
432	1013	1327
433	1015	1323
434	1016	1319
435	1017	1315
436	1018	1311
437	1019	1307
438	1020	1303
439	1021	1299
440	1022	1296
441	1033	1304
442	1034	1300
443	1036	1297
444	1037	1294
445	1045	1298
446	1047	1295
447	1048	1291
448	1049	1288
449	1051	1284
450	1052	1281
451	1103	1338
452	1111	1342
453	1117	1344
454	1119	1340
455	1120	1336
456	1126	1338
457	1154	1365
458	1157	1364
459	1159	1360
460	1160	1356
461	1173	1365
462	1174	1362
463	1175	1358
464	1176	1354
465	1181	1353
466	1182	1349
467	1183	1345
468	1185	1342
469	1186	1338
470	1187	1334
471	1193	1335
472	1195	1331
473	1196	1327
474	1197	1323
475	1198	1319
476	1201	1317
477	1203	1313
478	1205	1311
479	1207	1308
480	1209	1304
481	1210	1300
482	1219	1305
